Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
11,11,1974-11-09,24-152,NYK,@,GSW,L (-4),1,42:00,5,9,.556,5,6,.833,5,7,12,4,0,4,4,15,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
12,12,1974-11-12,24-155,NYK,@,POR,L (-2),1,42:00,4,6,.667,0,0,,4,8,12,5,0,2,4,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
13,13,1974-11-14,24-157,NYK,,CLE,W (+5),1,42:00,2,7,.286,2,3,.667,2,10,12,3,0,2,3,6,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
14,14,1974-11-16,24-159,NYK,,SEA,W (+10),,33:00,4,5,.800,0,0,,,,15,4,,,1,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
15,15,1974-11-19,24-162,NYK,,WSB,W (+1),,45:00,5,11,.455,0,1,.000,,,6,0,,,2,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
16,16,1974-11-20,24-163,NYK,@,PHI,W (+10),,29:00,1,4,.250,0,0,,,,9,0,,,4,2,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
17,17,1974-11-21,24-164,NYK,@,ATL,W (+6),,23:00,0,1,.000,0,0,,,,8,1,,,5,0,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
18,18,1974-11-23,24-166,NYK,,MIL,L (-18),1,28:00,4,11,.364,1,1,1.000,,,9,4,0,1,5,9,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
19,19,1974-11-26,24-169,NYK,,DET,L (-11),,37:00,3,8,.375,0,0,,,,5,2,,,4,6,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
20,20,1974-11-29,24-172,NYK,@,BOS,W (+10),,45:00,5,12,.417,1,3,.333,,,9,4,,,3,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
21,21,1974-11-30,24-173,NYK,,BUF,W (+7),1,32:00,4,11,.364,2,4,.500,,,6,2,,,5,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
22,22,1974-12-03,24-176,NYK,,LAL,W (+5),1,41:00,3,7,.429,5,8,.625,6,3,9,3,1,0,3,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
23,23,1974-12-06,24-179,NYK,@,PHI,W (+8),,43:00,2,5,.400,2,4,.500,,,7,1,,,2,6,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
24,24,1974-12-07,24-180,NYK,,POR,W (+8),1,19:00,2,2,1.000,3,4,.750,1,3,4,3,0,2,5,7,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
