Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
39,39,1970-01-09,24-164,KEN,@,PTP,W (+10),,,8,11,.727,0,0,,4,5,.800,,,5,,,5,20,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
40,40,1970-01-10,24-165,KEN,,CAR,W (+3),1,,8,12,.667,0,0,,0,0,,,,4,4,,5,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
41,41,1970-01-15,24-170,KEN,,NYA,W (+8),,,7,10,.700,0,0,,4,5,.800,,,11,,,6,18,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
42,42,1970-01-16,24-171,KEN,@,CAR,L (-2),1,,5,16,.313,0,0,,5,8,.625,,,13,4,,5,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
43,43,1970-01-17,24-172,KEN,,MMF,L (-1),1,,8,15,.533,0,0,,2,2,1.000,,,11,,,5,18,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
44,44,1970-01-19,24-174,KEN,,INA,L (-2),,21:00,3,8,.375,0,0,,2,2,1.000,,,5,2,,6,8,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
45,45,1970-01-21,24-176,KEN,@,INA,L (-7),,43:00,7,23,.304,0,0,,2,3,.667,,,19,1,,4,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
46,46,1970-01-28,24-183,KEN,@,NYA,W (+1),,,7,12,.583,0,0,,3,6,.500,,,17,,,3,17,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
47,47,1970-01-29,24-184,KEN,,PTP,W (+20),,,4,15,.267,0,0,,0,0,,,,13,,,3,8,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
48,48,1970-02-01,24-187,KEN,,CAR,L (-5),1,,16,25,.640,0,0,,1,4,.250,,,19,3,,4,33,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
49,49,1970-02-05,24-191,KEN,,PTP,W (+8),,,4,9,.444,0,0,,2,2,1.000,,,13,,,5,10,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
50,50,1970-02-06,24-192,KEN,@,INA,L (-2),,39:00,5,19,.263,0,0,,0,2,.000,,,23,2,,5,10,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
51,51,1970-02-08,24-194,KEN,,INA,L (-2),,29:00,8,15,.533,0,0,,0,3,.000,,,13,5,,5,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
52,52,1970-02-12,24-198,KEN,@,DNR,L (-14),,,4,,,0,,,1,1,1.000,,,,,,,9,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
53,53,1970-02-15,24-201,KEN,@,LAS,L (-8),,,4,12,.333,0,0,,4,4,1.000,,,9,,,6,12,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
54,54,1970-02-20,24-206,KEN,@,DLC,L (-4),,,6,13,.462,0,0,,3,5,.600,,,3,,,6,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
55,55,1970-02-21,24-207,KEN,@,NOB,L (-17),,,7,,,0,,,0,0,,,,,,,,14,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
56,56,1970-02-22,24-208,KEN,@,MMF,W (+23),,,6,11,.545,0,0,,3,4,.750,,,10,,,6,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
57,57,1970-02-25,24-211,KEN,@,NYA,L (-3),,,5,12,.417,0,0,,6,10,.600,,,15,,,6,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
58,58,1970-02-26,24-212,KEN,,PTP,L (-7),,,11,23,.478,0,,,3,4,.750,,,20,,,6,25,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
59,59,1970-02-28,24-214,KEN,,MMF,W (+4),,,12,27,.444,0,0,,4,5,.800,,,22,,,5,28,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
