Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
67,67,1979-03-06,24-143,NYK,,POR,L (-8),0,28:00,8,18,.444,2,2,1.000,2,0,2,8,2,0,3,5,18,12.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
68,68,1979-03-10,24-147,NYK,,SAS,L (-1),0,17:00,8,9,.889,1,2,.500,,,2,7,1,1,0,4,17,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
69,69,1979-03-13,24-150,NYK,,NOJ,W (+13),0,19:00,8,13,.615,1,3,.333,,,5,5,,,,3,17,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
70,70,1979-03-15,24-152,NYK,@,DET,L (-5),0,40:00,10,24,.417,2,2,1.000,,,10,10,,,,1,22,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
71,71,1979-03-17,24-154,NYK,,PHI,W (+2),0,30:00,4,11,.364,5,6,.833,,,2,10,,0,,2,13,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
72,72,1979-03-18,24-155,NYK,@,PHI,L (-16),0,27:00,12,17,.706,3,3,1.000,,,3,2,,0,,4,27,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
73,73,1979-03-20,24-157,NYK,,MIL,W (+8),0,34:00,7,18,.389,2,2,1.000,,,3,9,2,3,,3,16,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
74,74,1979-03-21,24-158,NYK,@,WSB,L (-13),0,29:00,8,18,.444,0,0,,,,6,3,,,,4,16,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
75,75,1979-03-24,24-161,NYK,,CHI,L (-5),0,38:00,13,25,.520,8,8,1.000,1,4,5,9,0,2,4,6,34,24.9,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
76,76,1979-03-27,24-164,NYK,@,POR,L (-11),0,27:00,8,17,.471,0,0,,1,0,1,9,1,0,1,5,16,12.3,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
77,77,1979-03-28,24-165,NYK,@,SEA,L (-6),1,38:00,12,28,.429,3,4,.750,4,2,6,10,,,,5,27,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
78,78,1979-03-30,24-167,NYK,@,GSW,L (-16),1,30:00,5,16,.313,2,2,1.000,1,1,2,8,1,0,0,2,12,9.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
79,79,1979-04-01,24-169,NYK,@,SDC,L (-10),1,25:00,8,23,.348,6,8,.750,,,4,2,2,,1,3,22,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
80,80,1979-04-03,24-171,NYK,,HOU,L (-1),1,35:00,18,32,.563,1,2,.500,,,7,11,3,0,,5,37,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
81,81,1979-04-05,24-173,NYK,,DEN,L (-7),1,28:00,8,22,.364,2,2,1.000,1,0,1,9,1,1,2,4,18,10.9,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
