Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
40,40,1978-01-13,29-026,NJN,@,BOS,L (-3),1,40:00,6,15,.400,0,0,,,,12,1,,,,6,12,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
41,41,1978-01-14,29-027,NJN,,PHI,L (-16),1,17:00,2,5,.400,0,0,,,,5,1,,,,6,4,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
42,42,1978-01-16,29-029,NJN,@,IND,L (-8),1,34:00,5,17,.294,4,6,.667,,,10,0,2,,,6,14,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
43,43,1978-01-17,29-030,NJN,@,MIL,L (-10),1,33:00,6,10,.600,1,2,.500,,,8,2,0,2,,1,13,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
44,44,1978-01-18,29-031,NJN,,POR,L (-26),1,21:00,2,6,.333,2,2,1.000,0,2,2,2,0,1,6,5,6,-2.7,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
45,45,1978-01-22,29-035,NJN,,KCK,L (-8),1,39:00,4,13,.308,0,0,,,,9,2,1,3,,1,8,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
46,46,1978-01-26,29-039,NJN,@,POR,L (-35),1,23:00,2,10,.200,0,0,,1,4,5,2,0,1,2,4,4,-1.8,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
47,47,1978-01-27,29-040,NJN,@,SEA,L (-5),1,28:00,7,10,.700,0,0,,5,4,9,1,,,,6,14,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
48,48,1978-01-29,29-042,NJN,@,PHO,L (-31),1,20:00,1,8,.125,0,0,,0,5,5,1,2,1,1,2,2,-0.1,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
49,49,1978-01-31,29-044,NJN,@,GSW,L (-11),1,35:00,3,9,.333,3,5,.600,2,7,9,0,0,8,5,1,9,6.8,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
50,50,1978-02-01,29-045,NJN,@,HOU,L (-21),1,41:00,5,9,.556,2,2,1.000,,,12,5,,3,,2,12,,1978,johnsge02,https://www.basketball-reference.com/players/j/johnsge02/gamelog/1978
