Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
45,45,1973-01-03,27-158,SDA,@,MMT,L (-13),,,6,,,0,,,1,1,1.000,,,,,,,,,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
46,46,1973-01-04,27-159,SDA,@,INA,L (-10),1,28:00,6,15,.400,1,2,.500,0,0,,,,3,3,,,,5,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
47,47,1973-01-05,27-160,SDA,@,NYA,L (-5),,,9,,,0,,,5,7,.714,,,,,,,,,23,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
48,48,1973-01-07,27-162,SDA,,MMT,W (+5),,,7,,,0,,,6,6,1.000,,,,,,,,,20,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
49,49,1973-01-09,27-164,SDA,,DNR,W (+4),,,7,,,0,,,6,11,.545,,,,,,,,,20,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
50,50,1973-01-10,27-165,SDA,,DLC,L (-13),,,10,,,0,,,4,5,.800,,,,,,,,,24,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
51,51,1973-01-11,27-166,SDA,,DNR,L (-4),,,5,,,0,,,9,12,.750,,,,,,,,,19,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
52,52,1973-01-13,27-168,SDA,@,INA,L (-1),1,32:00,6,15,.400,0,0,,0,0,,,,10,1,,,,5,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
53,53,1973-01-14,27-169,SDA,,KEN,L (-3),1,27:00,3,6,.500,1,1,1.000,0,0,,,,7,2,,,0,6,7,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
54,54,1973-01-19,27-174,SDA,@,UTS,W (+6),1,25:00,1,9,.111,0,,,2,4,.500,,,16,2,,,3,,4,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
55,55,1973-01-21,27-176,SDA,,UTS,W (+5),1,32:00,4,8,.500,0,,,4,6,.667,,,7,4,,,4,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
56,56,1973-01-28,27-183,SDA,,DLC,L (-19),,,9,,,0,,,1,3,.333,,,,,,,,,19,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
57,57,1973-01-30,27-185,SDA,,INA,L (-6),0,16:00,3,8,.375,1,2,.500,0,0,,,,7,1,,,,4,7,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
58,58,1973-02-02,27-188,SDA,@,KEN,L (-12),1,20:00,5,8,.625,0,0,,2,3,.667,,,6,2,,,1,5,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
59,59,1973-02-04,27-190,SDA,@,NYA,L (-2),,,5,,,0,,,1,1,1.000,,,,,,,,,11,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
60,60,1973-02-11,27-197,SDA,,DLC,L (-2),,,1,,,0,,,1,1,1.000,,,,,,,,,3,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
61,61,1973-02-13,27-199,SDA,,KEN,L (-7),1,46:00,10,16,.625,0,0,,2,2,1.000,,,10,4,,,2,3,22,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
62,62,1973-02-18,27-204,SDA,,INA,L (-15),,,2,,,0,,,1,2,.500,,,,,,,,,5,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
63,63,1973-02-19,27-205,SDA,@,UTS,L (-10),1,41:00,6,9,.667,0,,,4,5,.800,,,14,1,,,5,,16,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
64,64,1973-02-21,27-207,SDA,@,DNR,L (-1),,,6,,,0,,,4,7,.571,,,,,,,,,16,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
